specobjid,ra,dec,z,plate,mjd,fiberid,class,subclass
3.11991E+17,165.25171,0.065200723,9.04E-06,277,51908,424,STAR,G0
3.12046E+17,166.62,0.45916448,-7.77E-06,277,51908,626,STAR,G2
3.41244E+17,213.07121,0.15793702,6.12E-05,303,51615,351,STAR,G0
3.41294E+17,213.94115,0.78732743,3.28E-05,303,51615,532,STAR,G2
3.01757E+17,149.98047,-0.49724368,0.000519414,268,51633,57,STAR,G0
3.01818E+17,149.09645,-0.28140122,-3.13E-05,268,51633,278,STAR,G2
3.01825E+17,148.15135,0.079704841,0.000286286,268,51633,304,STAR,G2
3.01831E+17,147.92671,1.0015873,0.000294102,268,51633,325,STAR,G2
3.01836E+17,148.62824,0.50453457,0.000179094,268,51633,344,STAR,G2
4.27861E+17,346.08907,-0.35562179,-0.000143423,380,51792,68,STAR,G2
4.27909E+17,344.66243,-0.68605079,-0.000546891,380,51792,245,STAR,G2
4.27912E+17,344.71945,-0.89288115,-0.000148232,380,51792,255,STAR,G2
4.27954E+17,344.93623,1.2719813,-0.00034282,380,51792,408,STAR,G2
4.2796E+17,344.69633,0.44115016,-7.05E-05,380,51792,430,STAR,G2
4.27966E+17,345.16014,1.2194674,-0.000242345,380,51792,450,STAR,G0
3.78447E+17,191.55576,-1.2484262,-4.46E-05,336,51999,527,STAR,G0
3.79597E+17,193.93894,-1.5895031,0.000570359,337,51997,614,STAR,G2
3.79604E+17,194.14481,-2.2155999,0.000322199,337,51997,639,STAR,G0
3.80578E+17,195.00969,-3.5114722,0.000240196,338,51694,85,STAR,G0
3.80616E+17,194.48577,-2.7667348,0.0002664,338,51694,226,STAR,G0
3.15294E+17,170.94816,0.071706374,0.000112887,280,51612,153,STAR,G0
3.15299E+17,170.73487,0.10720915,2.25E-05,280,51612,171,STAR,G2
3.15348E+17,169.58433,0.5607814,-0.000290756,280,51612,348,STAR,G0
3.15406E+17,170.84745,1.1111265,0.000222366,280,51612,561,STAR,G2
3.1638E+17,172.5948,-1.1552804,0.000698125,281,51614,9,STAR,G0
3.16395E+17,172.52646,-0.31484275,0.000198105,281,51614,64,STAR,G0
3.16411E+17,172.03521,-1.1576206,-3.25E-05,281,51614,121,STAR,G0
3.16425E+17,171.93665,-0.091965804,0.000194939,281,51614,171,STAR,G2
3.16445E+17,171.68775,-1.0511533,-0.000296395,281,51614,244,STAR,G2
3.1645E+17,171.02878,0.048559825,-0.000123544,281,51614,263,STAR,G0
3.16451E+17,170.84406,0.020635901,6.27E-05,281,51614,266,STAR,G2
3.16482E+17,171.27968,0.78453323,0.000166079,281,51614,377,STAR,G2
3.16488E+17,171.26866,1.1227895,0.000261934,281,51614,401,STAR,G0
3.16491E+17,171.5802,1.0332401,-0.00018993,281,51614,413,STAR,G0
3.16505E+17,171.80675,0.62870568,4.24E-05,281,51614,463,STAR,G2
3.33283E+17,200.88609,-0.59945575,0.000109492,296,51984,62,STAR,G0
4.03148E+17,262.23738,56.366937,-0.000295172,358,51818,277,STAR,G2
4.03163E+17,261.12562,57.207277,-0.000458246,358,51818,331,STAR,G2
4.03196E+17,263.32288,57.887526,-0.000509843,358,51818,450,STAR,G0
4.03217E+17,263.98129,57.927249,-0.001260307,358,51818,528,STAR,G0
4.03238E+17,264.94541,57.800523,-9.46E-05,358,51818,603,STAR,G2
4.07729E+17,264.78347,54.673885,-0.000477349,362,51999,557,STAR,G2
4.07729E+17,264.7636,54.624188,-0.000416217,362,51999,559,STAR,G2
4.07731E+17,265.21414,55.5666,-0.000573269,362,51999,563,STAR,G2
4.07739E+17,265.53383,54.562383,-0.000190629,362,51999,594,STAR,G2
4.07745E+17,265.53255,55.338989,-0.00028131,362,51999,616,STAR,G2
4.08715E+17,233.40853,-0.91241541,-0.000125096,363,51989,50,STAR,G0
3.40131E+17,211.30744,0.45512955,0.000665968,302,51688,398,STAR,G2
3.69398E+17,174.85373,-1.2747829,2.80E-05,328,52282,373,STAR,G2
4.05499E+17,265.90069,54.783848,-9.60E-05,360,51816,638,STAR,G2
4.07576E+17,265.93082,53.732703,-0.000320854,362,51999,2,STAR,G2
4.07642E+17,263.61022,54.21795,-8.78E-05,362,51999,240,STAR,G2
3.28899E+17,192.44511,0.47881729,0.000383934,292,51609,497,STAR,G0
3.23238E+17,182.27436,0.58352242,3.67E-05,287,52023,382,STAR,G2
3.23277E+17,183.59261,0.94146054,5.65E-06,287,52023,524,STAR,G0
3.24285E+17,185.06944,-1.051089,0.000156675,288,52000,93,STAR,G2
3.24302E+17,185.06956,-0.64819523,0.00044657,288,52000,154,STAR,G2
3.24314E+17,184.58128,-0.54603519,0.000115269,288,52000,198,STAR,G2
3.24366E+17,183.90931,0.54497852,0.000236325,288,52000,390,STAR,G0
3.42335E+17,214.81925,-1.1867516,-0.000132418,304,51609,224,STAR,G2
3.42343E+17,213.69274,-0.13211656,-1.91E-06,304,51609,254,STAR,G2
3.42367E+17,213.49182,0.60976981,-0.000158013,304,51609,340,STAR,G2
3.42389E+17,214.73311,0.048889002,-6.88E-05,304,51609,419,STAR,G0
3.42404E+17,215.10086,0.54194104,-0.000141757,304,51609,474,STAR,G0
3.42417E+17,215.69115,0.46702104,-0.000311191,304,51609,521,STAR,G2
3.42418E+17,215.72164,0.42553452,-0.000776785,304,51609,524,STAR,G2
3.42418E+17,215.65033,0.5563855,-0.000277102,304,51609,525,STAR,G0
3.42418E+17,215.68979,0.44443768,-0.000151455,304,51609,527,STAR,G2
3.42419E+17,215.65597,0.51811384,-0.000416818,304,51609,528,STAR,G2
3.42432E+17,215.82727,0.43745708,-0.000133662,304,51609,575,STAR,G2
3.42442E+17,215.97505,-0.081727047,-0.000262489,304,51609,614,STAR,G2
3.02983E+17,150.9641,0.33904684,-0.000121439,269,51910,422,STAR,G0
3.03025E+17,151.2808,1.2022459,0.000157315,269,51910,575,STAR,G0
3.04013E+17,153.54676,-0.39691753,-0.000131783,270,51909,73,STAR,G2
4.43774E+17,13.92467,0.69414977,-5.89E-05,394,51913,617,STAR,G2
4.44747E+17,15.459972,-0.66094402,-0.000492992,395,51783,61,STAR,G0
4.44833E+17,14.184031,0.93523429,-8.77E-06,395,51783,374,STAR,G2
3.80626E+17,194.36056,-2.9830343,0.000125359,338,51694,263,STAR,G2
3.80709E+17,195.00705,-1.1744689,-0.000237856,338,51694,562,STAR,G2
3.80723E+17,195.35537,-1.3500088,-0.0002882,338,51694,614,STAR,G2
3.81697E+17,196.38321,-3.4693666,-5.21E-05,339,51692,60,STAR,G2
3.81713E+17,196.86075,-3.0672162,0.000364552,339,51692,118,STAR,G0
3.81725E+17,196.22424,-3.2288909,1.91E-05,339,51692,165,STAR,G0
3.81729E+17,196.31295,-3.0698196,4.43E-05,339,51692,178,STAR,G0
3.81738E+17,195.83681,-3.415815,0.000462658,339,51692,212,STAR,G2
3.81771E+17,195.30923,-1.564785,-0.000121617,339,51692,330,STAR,G2
3.81772E+17,195.68955,-1.9052539,-5.66E-06,339,51692,335,STAR,G2
3.8178E+17,195.80271,-1.5565613,0.000742072,339,51692,362,STAR,G2
3.8178E+17,195.80007,-1.4620719,-0.000236145,339,51692,365,STAR,G0
3.17539E+17,173.81738,-1.1816578,-8.52E-05,282,51658,128,STAR,G2
3.17553E+17,173.90419,-0.12331672,0.00011177,282,51658,178,STAR,G2
3.33358E+17,199.01884,0.82215455,-5.39E-05,296,51984,335,STAR,G0
3.36815E+17,206.69683,0.19114156,0.00033543,299,51671,623,STAR,G2
3.3778E+17,208.63412,0.08647615,7.60E-05,300,51943,38,STAR,G2
4.41431E+17,8.1779065,-0.8032186,-0.000313814,392,51793,283,STAR,G2
4.41502E+17,9.6156366,0.62065356,-0.000940759,392,51793,541,STAR,G0
3.44677E+17,218.3922,0.034564033,-0.000202966,306,51637,551,STAR,G2
3.44694E+17,219.00659,0.77188385,-0.000152036,306,51637,614,STAR,G2
3.45661E+17,220.99836,-0.34730496,-0.000115143,307,51663,34,STAR,G2
3.45682E+17,219.9983,-0.30726329,0.000437623,307,51663,113,STAR,G2
3.45756E+17,218.945,0.64250851,-8.45E-05,307,51663,382,STAR,G2
3.45758E+17,218.72568,-0.08332831,-9.23E-05,307,51663,389,STAR,G0
3.45759E+17,218.7292,0.45810758,-5.70E-06,307,51663,391,STAR,G0
3.45766E+17,219.43806,0.90080803,-7.24E-05,307,51663,419,STAR,G2
3.45778E+17,219.58224,0.59588797,7.05E-05,307,51663,462,STAR,G2
3.45806E+17,220.33763,1.0032799,-2.06E-05,307,51663,561,STAR,G2
3.45823E+17,221.04172,0.56456345,4.98E-05,307,51663,626,STAR,G2
4.07657E+17,262.87895,53.434173,-7.73E-05,362,51999,297,STAR,G2
4.0767E+17,262.2554,55.065185,-7.95E-05,362,51999,343,STAR,G2
4.07707E+17,263.28389,54.545629,-0.00022669,362,51999,477,STAR,G2
4.07719E+17,264.85448,55.61427,-0.000225561,362,51999,521,STAR,G0
4.26821E+17,342.48188,0.40390435,-0.000230211,379,51789,383,STAR,G2
4.39182E+17,4.6381963,-0.96197081,-0.000133738,390,51900,293,STAR,G2
4.39186E+17,3.9870508,-0.55707581,-0.000240671,390,51900,309,STAR,G2
4.26766E+17,343.68133,-0.23693713,-0.000136851,379,51789,180,STAR,G2
4.26794E+17,342.55457,-0.77620184,-0.00073786,379,51789,283,STAR,G2
4.26797E+17,342.55114,-1.0245444,-0.000140705,379,51789,294,STAR,G0
4.27985E+17,345.50337,0.46506228,-0.000158343,380,51792,519,STAR,G2
4.27991E+17,345.66344,0.57732108,-0.000553995,380,51792,541,STAR,G2
4.28017E+17,346.54188,0.36902494,-0.000137133,380,51792,637,STAR,G2
4.28992E+17,347.56825,-1.0788879,-0.000158026,381,51811,88,STAR,G2
4.28994E+17,347.48937,-0.90953913,1.32E-05,381,51811,96,STAR,G2
4.29052E+17,346.13234,-0.30536408,9.87E-05,381,51811,307,STAR,G2
4.29056E+17,346.20235,-0.091504228,-0.000265796,381,51811,319,STAR,G2
4.2907E+17,346.87263,1.000231,-0.00044357,381,51811,373,STAR,G2
3.254E+17,187.49245,-1.1484676,7.38E-05,289,51990,54,STAR,G0
3.25404E+17,187.59701,-0.29546073,0.000290497,289,51990,70,STAR,G0
3.34412E+17,202.46626,-0.061823617,-0.000228831,297,51959,73,STAR,G0
3.43418E+17,216.56191,-1.0554867,-9.68E-06,305,51613,66,STAR,G2
3.43427E+17,216.89877,-0.60144058,-2.10E-05,305,51613,100,STAR,G2
3.43448E+17,216.28877,-0.48049302,-0.00022246,305,51613,178,STAR,G2
3.43462E+17,215.87188,-1.1214064,0.000108426,305,51613,229,STAR,G0
3.43471E+17,215.73009,-1.1836979,0.0001067,305,51613,261,STAR,G2
3.43487E+17,215.70876,-1.0585789,-8.44E-05,305,51613,317,STAR,G0
3.43488E+17,215.91664,0.54058292,0.000275476,305,51613,323,STAR,G2
3.43489E+17,215.32078,0.46377372,4.22E-05,305,51613,325,STAR,G0
3.43494E+17,215.65249,0.98591163,-0.000302544,305,51613,345,STAR,G0
3.43505E+17,215.74816,0.98261644,-0.000122001,305,51613,384,STAR,G2
3.43508E+17,215.70712,0.94228216,-0.00016847,305,51613,396,STAR,G2
