specobjid,ra,dec,z,plate,mjd,fiberid,class,subclass
4.04247E+17,261.50067,53.517769,-0.000123932,359,51821,178,STAR,WD
4.04251E+17,261.24127,53.315414,-0.000436307,359,51821,194,STAR,WD
4.04252E+17,261.2308,53.564929,-0.000299597,359,51821,197,STAR,WD
4.04255E+17,260.59223,52.611581,-0.000886846,359,51821,206,STAR,WD
4.04264E+17,260.6164,53.500594,-0.000940917,359,51821,240,STAR,WD
4.0427E+17,260.25127,53.251154,-0.000561108,359,51821,263,STAR,WD
4.04275E+17,260.25413,53.409365,-0.000507042,359,51821,279,STAR,WD
4.04281E+17,259.74142,53.455067,0.00019025,359,51821,301,STAR,WD
4.04295E+17,259.35728,53.744881,-0.000625206,359,51821,351,STAR,WD
4.04303E+17,260.612,54.720587,-9.70E-05,359,51821,380,STAR,WD
4.04305E+17,260.17343,54.048209,5.75E-05,359,51821,389,STAR,WD
4.04311E+17,261.12766,54.670481,4.05E-05,359,51821,410,STAR,WD
4.04318E+17,260.33604,54.105501,0.000395834,359,51821,437,STAR,WD
4.04325E+17,261.45248,54.271144,-0.000272304,359,51821,460,STAR,WD
4.04333E+17,261.45552,54.016373,-0.000183762,359,51821,491,STAR,WD
4.04349E+17,262.42331,53.904806,1.68E-05,359,51821,549,STAR,WD
4.04355E+17,262.31316,54.632784,-0.0003608,359,51821,569,STAR,WD
5.26979E+17,133.06023,-0.54555457,-0.000975259,468,51912,211,STAR,WD
5.26987E+17,132.92014,-0.28907096,-0.000409808,468,51912,241,STAR,WD
5.27006E+17,131.87328,0.43536339,7.41E-05,468,51912,307,STAR,WD
5.2703E+17,132.74494,1.0537608,-5.69E-05,468,51912,395,STAR,WD
5.27034E+17,132.9009,1.9124936,-8.32E-05,468,51912,409,STAR,WD
5.27045E+17,133.1228,1.7232774,0.000282454,468,51912,451,STAR,WD
5.27063E+17,133.82683,0.97592968,0.000119525,468,51912,515,STAR,WD
5.2805E+17,135.31742,0.14507933,4.71E-05,469,51913,12,STAR,WD
5.28051E+17,135.48762,0.30675734,-0.00034013,469,51913,16,STAR,WDmagnetic
5.28053E+17,135.93139,0.42140931,0.000273051,469,51913,21,STAR,WD
5.28062E+17,135.02876,0.25193245,0.000401275,469,51913,56,STAR,WD
5.28063E+17,135.20879,0.047043373,-3.53E-05,469,51913,57,STAR,WD
5.28066E+17,135.65175,0.55792289,8.77E-06,469,51913,69,STAR,WD
5.28077E+17,135.45261,0.83776206,0.000138103,469,51913,108,STAR,WD
5.2808E+17,135.46423,0.95038347,6.96E-05,469,51913,119,STAR,WD
5.28083E+17,134.61239,0.33111208,0.000139829,469,51913,131,STAR,WD
5.28086E+17,134.65484,0.29345251,4.93E-05,469,51913,140,STAR,WD
5.32701E+17,140.76234,2.1754691,7.38E-05,473,51929,547,STAR,WD
5.32703E+17,140.58893,2.2779517,7.16E-05,473,51929,555,STAR,WD
5.337E+17,141.82266,-0.90459066,9.24E-05,474,52000,84,STAR,WD
5.28155E+17,134.10555,1.2634583,0.000113859,469,51913,392,STAR,WD
5.28164E+17,134.40064,1.287257,-6.53E-05,469,51913,424,STAR,WD
5.28183E+17,134.77591,1.3268208,-0.000222657,469,51913,493,STAR,WD
5.28188E+17,135.17471,1.2641152,5.83E-05,469,51913,511,STAR,WD
5.28196E+17,134.92336,1.957333,0.000189206,469,51913,540,STAR,WD
